player_id,first_serve_in_pct,first_serve_won_pct,second_serve_won_pct,ace_rate
200748,0.6026,0.6347,0.4167,0.0488
201329,0.75,0.5952,0.2857,0.0
201366,0.5813,0.6093,0.4703,0.0534
201427,0.6774,0.6714,0.4334,0.036
201458,0.6435,0.6829,0.5038,0.0457
201466,0.5976,0.7347,0.4848,0.0366
201483,0.716,0.5566,0.4121,0.002
201493,0.7017,0.6671,0.3891,0.0407
201496,0.6543,0.6579,0.4047,0.0295
201499,0.6745,0.6798,0.511,0.033
201506,0.7338,0.5536,0.3131,0.0036
201513,0.4735,0.7644,0.4309,0.1569
201514,0.642,0.6244,0.4557,0.0396
201516,0.6813,0.6063,0.3768,0.0107
201518,0.7684,0.4932,0.2727,0.0316
201520,0.6341,0.7416,0.4954,0.1002
201533,0.6201,0.5446,0.4036,0.0273
201548,0.6448,0.6568,0.4159,0.0617
201549,0.5861,0.7027,0.4756,0.0796
201551,0.6925,0.642,0.4135,0.0531
201585,0.709,0.5562,0.522,0.0224
201586,0.6037,0.6788,0.4437,0.0428
201590,0.6675,0.5643,0.3798,0.0294
201593,0.646,0.6268,0.3543,0.0248
201603,0.6119,0.6619,0.3542,0.0323
201606,0.5549,0.6793,0.4031,0.1
201611,0.6546,0.5805,0.4306,0.0272
201613,0.6769,0.6591,0.381,0.0154
201614,0.5981,0.7342,0.5041,0.1055
201615,0.6478,0.5252,0.4695,0.0
201616,0.6226,0.6069,0.4107,0.0145
201619,0.7262,0.7262,0.4418,0.0645
201662,0.6811,0.6957,0.4232,0.0882
201696,0.7076,0.6044,0.4996,0.0123
201709,0.6883,0.6834,0.5293,0.0343
202421,0.6618,0.5349,0.3393,0.0379
202429,0.5053,0.6595,0.4322,0.0646
202434,0.6453,0.6831,0.5671,0.0145
202460,0.5465,0.7692,0.5333,0.068
202468,0.621,0.684,0.5589,0.038
202490,0.6089,0.5479,0.3514,0.02
202492,0.7045,0.5484,0.1538,0.0
202494,0.6454,0.6765,0.4801,0.0573
202499,0.5892,0.7528,0.4664,0.0672
202505,0.6174,0.7254,0.5314,0.0519
202506,0.5091,0.5357,0.2963,0.0182
202536,0.6538,0.6452,0.494,0.0417
202600,0.6002,0.6097,0.4713,0.0335
202628,0.5853,0.6533,0.2138,0.0295
202663,0.6749,0.645,0.4479,0.0432
202684,0.6758,0.63,0.5385,0.0197
203354,0.6328,0.4966,0.4946,0.0
203389,0.5746,0.6808,0.4861,0.0566
203462,0.6685,0.5577,0.3151,0.0136
203463,0.5989,0.4712,0.2957,0.0122
203475,0.6914,0.6332,0.3222,0.0183
203500,0.6194,0.7147,0.5556,0.0733
203501,0.6287,0.5991,0.5476,0.1352
203530,0.6875,0.5932,0.4598,0.0121
203533,0.5895,0.6828,0.3583,0.019
204246,0.7097,0.5227,0.5556,0.0323
204411,0.6591,0.4138,0.3333,0.0227
